key,id,title,active,ab,type,channels,category,first_send_date,last_send_date,mobile_push_sent,mobile_push_ios_sent,mobile_push_android_sent,mobile_push_opened,mobile_push_ios_opened,mobile_push_android_opened,mobile_push_open_rate,mobile_push_ios_open_rate,mobile_push_android_open_rate,web_push_sent,web_push_delivered,web_push_opened,web_push_open_rate,inapp_sent,inapp_ios_sent,inapp_android_sent,inapp_delivered,inapp_ios_delivered,inapp_android_delivered,inapp_opened,inapp_ios_opened,inapp_android_opened,inapp_open_rate,inapp_ios_open_rate,inapp_android_open_rate,inbox_sent,inbox_delivered,inbox_opened,inbox_open_rate,inbox_clicked,inbox_click_rate,email_sent,email_failed,email_delivered,email_unsubscribed,email_complained,email_opened,email_clicked,email_open_rate,email_click_rate,sms_sent,sms_delivered,sms_clicked,sms_click_rate,sms_failed,sms_opened,sms_open_rate,rcs_sent,rcs_delivered,rcs_clicked,rcs_click_rate,rcs_failed,rcs_opened,rcs_open_rate,facebook_sent,facebook_delivered,facebook_opened,facebook_open_rate,whatsapp_sent,whatsapp_delivered,whatsapp_opened,whatsapp_open_rate,inweb_sent,inweb_delivered,inweb_opened,inweb_open_rate,app_opens_direct,actions_sent_unique,actions_converted_unique,actions_conversion,goals,goals_value,description,db_sort_index,sms_unsubscribed
0,112111698,ApiTestCampaign,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (17 Apr 2024 till now)",0,
1,114301455,Retention:OneMonthNoDepReactivationFirstDayEmail,1,0,"API Triggered",Email,,"2025-01-02 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172,18,1154,5,0,502,332,43.5,28.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (02 May 2024 till now)",1,
2,114304648,Retention:OneMonthNoDepReactivationSecondDaySMS,1,0,"API Triggered",SMS,,"2025-01-01 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,715,0,0,126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (02 May 2024 till now)",2,0
3,115308779,VIP:21DaysCashBonusFirstSms,1,0,"API Triggered",SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (09 May 2024 till now)",3,0
4,115313848,VIP:7DaysBonusForPlayer,1,0,"API Triggered","Email, SMS",,"2025-05-10 17:00","2025-11-06 13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,1,0,50,0,2,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (09 May 2024 till now)",4,0
5,115472683,VIP:ReminderForPlayer,1,0,"API Triggered","Email, SMS",,"2025-01-14 15:00","2026-04-09 10:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,1,84,1,0,37,14,44.05,16.67,34,28,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (10 May 2024 till now)",5,0
6,115907775,VIP:CashBonusForPlayerEmail,1,0,"API Triggered","Email, SMS",,"2025-01-01 11:00","2026-05-12 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474,15,1459,5,1,884,165,60.59,11.31,149,127,0,0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (13 May 2024 till now)",6,0
7,116158227,"VIP:VipClubNoManagerEmailSMSForPlayer   ",1,0,"API Triggered","Email, SMS",,"2025-01-13 14:00","2026-05-12 11:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,2,166,3,0,106,36,63.86,21.69,162,128,0,0,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (15 May 2024 till now)",7,0
8,116178954,VIP:Balance(Email/SMS),1,0,"API Triggered","Email, SMS",,"2025-02-24 18:00","2026-02-16 14:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,0,5,1,35.71,7.14,10,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (15 May 2024 till now)",8,0
9,116279896,VIP:VipClubLevel1EmailSMS,1,0,"API Triggered","Email, SMS",,"2025-01-17 10:00","2025-10-08 10:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,0,5,1,50,10,8,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (16 May 2024 till now)",9,0
10,116292551,Retention:FirstDepositFailedRetentionWith10EURFirstDayEmail,1,0,"API Triggered",Email,,"2025-01-01 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2386,194,2192,11,0,659,399,30.06,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (16 May 2024 till now)",10,
11,116294699,"	 Retention:FirstDepositFailedRetentionWith10EURSecondDaySMS",1,0,"API Triggered",SMS,,"2025-01-01 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126,1559,0,0,534,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (16 May 2024 till now)",11,0
12,116451686,CRM:ZeroDepActFirstEmailAfter4days,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (17 May 2024 till now)",12,
13,117020340,CRM:ZeroDepActSecondEmail14days,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (21 May 2024 till now)",13,
14,117023282,CRM:ZeroDepActThirdEmail45days,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (21 May 2024 till now)",14,
15,117023768,CRM:ZeroDepActFourthEmail75days,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (21 May 2024 till now)",15,
16,117024210,CRM:ZeroDepActFifthEmail90days,1,0,"API Triggered",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (21 May 2024 till now)",16,
17,117033816,VIP:BirthdayBonusEmailSms,1,0,"API Triggered","Email, SMS",,"2025-01-11 05:00","2026-05-13 00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,4,214,0,0,127,38,59.35,17.76,219,150,0,0,65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email, SMS (21 May 2024 till now)",17,0
18,117175275,Retention:15MinutesNoDepositSMS,1,0,"API Triggered",SMS,,"2025-01-01 07:00","2025-02-21 04:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,206,0,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (22 May 2024 till now)",18,0
19,117288699,Retention:OneMonthNoDepReactivationFifthDaySMSReminder,1,0,"API Triggered",SMS,,"2025-01-03 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,494,0,0,94,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (23 May 2024 till now)",19,0
20,117293997,Retention:OneMonthNoDepReactivationDepositBonusAfterWeekEmail,1,0,"API Triggered",Email,,"2025-01-01 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,5,638,2,0,284,56,44.51,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (23 May 2024 till now)",20,
21,117333779,Retention:TwoMonthNoLoginReactivation25EURBonusFirstDayEmail,1,0,"API Triggered",Email,,"2025-01-02 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,26,1106,9,0,354,252,32.01,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: Email (23 May 2024 till now)",21,
22,117336634,Retention:TwoMonthNoLoginReactivation25EURBonusSecondDaySMS,1,0,"API Triggered",SMS,,"2025-01-03 16:00","2026-05-12 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,656,0,0,145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"API Triggered: SMS (23 May 2024 till now)",22,0
